filename,words
C_003_wrong_0.png,"Removing the ambiguity Precedence
• Must rewrite the grammar to avoid generating the problem
• Match each else to innermost unmatched if (common sense rule)"
C_003_wrong_1.png,"if Expr then WithElse else WithElse
OtherStmt
if Expr then Stmt
if Expr then WithElse else NoElse"
C_003_wrong_2.png,"3 WithElse
4
5 NoElse
6"
C_003_wrong_3.png,"Intuition: Between then and else, only WithElse can go, but NoElse cannot. With this grammar, the example has only one derivation"
C_004_wrong_1.png,"In both cases, Expr ⇒ * id - num * id
• The two derivations produce different parse trees
• The parse trees imply different evaluation orders!"
C_005_wrong_0.png,"Rule Sentential Form
— Expr
1 Expr Op Expr
3 Expr Op <id,y>
6 Expr * <id,y>
1 Expr Op Expr * <id,y>
2 Expr Op <num,2> * <id,y>
5 Expr - <num,2> * <id,y>
3 <id,x> - <num,2> * <id,y>"
C_005_wrong_1.png,This evaluates as (x - 2) * y
C_005_wrong_2.png,"같은 grammar지만 derivation에 따라 의미가 달라짐 → derivation을 섞어쓰면 안됨
8"
C_006_wrong_0.png,SUNGKYUNKWAN UNIVERSITY(SKKU)
C_006_wrong_1.png,"router input ports
Software가 아닌 Hardware의 port"
C_007_wrong_0.png,"Destination-based forwarding
SUNG KYUN KWAN UNIVERSITY(SKKU)
destination IP 주소의 범위를 만들고, 해당하는 범위의 interface를 사용하자
forwarding table
Destination Address Range
Link Interface"
C_007_wrong_1.png,11001000 00010111 00010000 00000000 through
C_007_wrong_2.png,11001000 00010111 00011000 11111111
C_007_wrong_3.png,11001000 00010111 00011001 00000000 through 11001000 00010111 00011111 11111111
C_007_wrong_4.png,"Q: but what happens if ranges don’t divide up so nicely?
range가 예쁘게 안나뉘고 중간에 이상한 범위가 있으면 어떻게 output port를 정하지?
Network Layer: 4-17"
C_008_wrong_0.png,"longest prefix match
when looking for forwarding table entry for given destination address, use longest address prefix that matches destination address."
C_008_wrong_1.png,11001000 00010111 00010
C_008_wrong_2.png,********
C_008_wrong_3.png,11001000 match!
C_008_wrong_4.png,가장 긴 Prefix bit가 같은 애의 interface를 받아옴
